TYPE,RATE_ID,PRODUCT_TYPE_CODE,PRODUCT_TYPE_NAME,SPECIES_GROUP_CODE,SPECIES_GROUP_NAME,RATE_TYPE_CODE,RATE_TYPE_NAME,RATE,EFFECTIVE_DATE,EXPIRY_DATE
RATE,1,BCG,Biomass Cogeneration,CON,Conifer,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,2,BCG,Biomass Cogeneration,CON,Conifer,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,3,BCG,Biomass Cogeneration,CON,Conifer,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,4,BCG,Biomass Cogeneration,,ConiferTest,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,5,BCG,Biomass Cogeneration,CON,Conifer,MS,Minimum Value Charge,0,01042026,30042026
RATE,6,BCG,Biomass Cogeneration,CON,Conifer,MS,Minimum Value Charge,0,01052026,31052026
RATE,7,BCG,Biomass Cogeneration,CON,Conifer,SFR,Residual Value Charge,0,01042026,30042026
RATE,8,BCG,Biomass Cogeneration,CON,Conifer,SFR,Residual Value Charge,0,01052026,31052026
RATE,9,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,10,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,11,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,12,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,13,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,MS,Minimum Value Charge,0,01042026,30042026
RATE,14,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,MS,Minimum Value Charge,0,01052026,31052026
RATE,15,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,SFR,Residual Value Charge,0,01042026,30042026
RATE,16,BCG,Biomass Cogeneration,HEC,Hemlock / Cedar,SFR,Residual Value Charge,0,01052026,31052026
RATE,17,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,18,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,19,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,20,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,21,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,MS,Minimum Value Charge,0,01042026,30042026
RATE,22,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,MS,Minimum Value Charge,0,01052026,31052026
RATE,23,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,SFR,Residual Value Charge,0,01042026,30042026
RATE,24,BCG,Biomass Cogeneration,HG1,Hardwood - Grade 1,SFR,Residual Value Charge,0,01052026,31052026
RATE,25,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,26,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,27,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,28,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,29,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,MS,Minimum Value Charge,0,01042026,30042026
RATE,30,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,MS,Minimum Value Charge,0,01052026,31052026
RATE,31,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,SFR,Residual Value Charge,0,01042026,30042026
RATE,32,BCG,Biomass Cogeneration,HG2,Hardwood - Grade 2,SFR,Residual Value Charge,0,01052026,31052026
RATE,33,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,34,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,35,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,36,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,37,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,MS,Minimum Value Charge,0,01042026,30042026
RATE,38,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,MS,Minimum Value Charge,0,01052026,31052026
RATE,39,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,SFR,Residual Value Charge,0,01042026,30042026
RATE,40,BCG,Biomass Cogeneration,MHW,Mixedwood Hardwood,SFR,Residual Value Charge,0,01052026,31052026
RATE,41,BCG,Biomass Cogeneration,MIX,Mixedwood,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,42,BCG,Biomass Cogeneration,MIX,Mixedwood,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,43,BCG,Biomass Cogeneration,MIX,Mixedwood,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,44,BCG,Biomass Cogeneration,MIX,Mixedwood,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,45,BCG,Biomass Cogeneration,MIX,Mixedwood,MS,Minimum Value Charge,0,01042026,30042026
RATE,46,BCG,Biomass Cogeneration,MIX,Mixedwood,MS,Minimum Value Charge,0,01052026,31052026
RATE,47,BCG,Biomass Cogeneration,MIX,Mixedwood,SFR,Residual Value Charge,0,01042026,30042026
RATE,48,BCG,Biomass Cogeneration,MIX,Mixedwood,SFR,Residual Value Charge,0,01052026,31052026
RATE,49,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,50,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,51,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,52,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,53,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,MS,Minimum Value Charge,0,01042026,30042026
RATE,54,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,MS,Minimum Value Charge,0,01052026,31052026
RATE,55,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,SFR,Residual Value Charge,0,01042026,30042026
RATE,56,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,SFR,Residual Value Charge,0,01052026,31052026
RATE,57,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,58,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,59,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,60,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,61,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,MS,Minimum Value Charge,0,01042026,30042026
RATE,62,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,MS,Minimum Value Charge,0,01052026,31052026
RATE,63,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,SFR,Residual Value Charge,0,01042026,30042026
