TYPE,RATE_ID,MANAGEMENT_UNIT_CODE,MANAGEMENT_UNIT_NAME,SPECIES_GROUP_CODE,SPECIES_GROUP_NAME,RATE_TYPE_CODE,RATE_TYPE_NAME,RATE,EFFECTIVE_DATE,EXPIRY_DATE
RATE,1,35,Black Spruce Forest,CON,Conifer,FRC,Forest Renewal Charge,6.5,1042026,31032027
RATE,2,35,Black Spruce Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,4.5,1042026,31032027
RATE,3,35,Black Spruce Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,4,35,Black Spruce Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,5,35,Black Spruce Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,6,35,Black Spruce Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,3.25,1042026,31032027
RATE,7,35,Black Spruce Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.25,1042026,31032027
RATE,8,35,Black Spruce Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,6.5,1042026,31032027
RATE,9,35,Black Spruce Forest,POP,Poplar,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,10,35,Black Spruce Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,11,35,Black Spruce Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,12,35,Black Spruce Forest,WBR,White Birch,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,13,60,White River Forest,CON,Conifer,FRC,Forest Renewal Charge,3.5,1042026,31032027
RATE,14,60,White River Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,15,60,White River Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,8,1042026,31032027
RATE,16,60,White River Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.5,1042026,31032027
RATE,17,60,White River Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,18,60,White River Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,19,60,White River Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,20,60,White River Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,21,60,White River Forest,POP,Poplar,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,22,60,White River Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,23,60,White River Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,24,60,White River Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.5,1042026,31032027
RATE,25,110,Abitibi River Forest,CON,Conifer,FRC,Forest Renewal Charge,3,1042026,31032027
RATE,26,110,Abitibi River Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,2.16,1042026,31032027
RATE,27,110,Abitibi River Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,7.53,1042026,31032027
RATE,28,110,Abitibi River Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1.42,1042026,31032027
RATE,29,110,Abitibi River Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,0.96,1042026,31032027
RATE,30,110,Abitibi River Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,2,1042026,31032027
RATE,31,110,Abitibi River Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,0.36,1042026,31032027
RATE,32,110,Abitibi River Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,3.79,1042026,31032027
RATE,33,110,Abitibi River Forest,POP,Poplar,FRC,Forest Renewal Charge,0.3,1042026,31032027
RATE,34,110,Abitibi River Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,9.88,1042026,31032027
RATE,35,110,Abitibi River Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,9.11,1042026,31032027
RATE,36,110,Abitibi River Forest,WBR,White Birch,FRC,Forest Renewal Charge,0.3,1042026,31032027
RATE,37,120,Trout Lake Forest,CON,Conifer,FRC,Forest Renewal Charge,5.5,1042026,31032027
RATE,38,120,Trout Lake Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,4.75,1042026,31032027
RATE,39,120,Trout Lake Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,40,120,Trout Lake Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,41,120,Trout Lake Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,42,120,Trout Lake Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,2,1042026,31032027
RATE,43,120,Trout Lake Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,44,120,Trout Lake Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,5.5,1042026,31032027
RATE,45,120,Trout Lake Forest,POP,Poplar,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,46,120,Trout Lake Forest,PR1,Red Pine / White Pine Category 1,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,47,120,Trout Lake Forest,PR2,Red Pine / White Pine Category 2,FRC,Forest Renewal Charge,11,1042026,31032027
RATE,48,120,Trout Lake Forest,WBR,White Birch,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,49,130,Wabigoon Forest,CON,Conifer,FRC,Forest Renewal Charge,6.25,1042026,31032027
RATE,50,130,Wabigoon Forest,HEC,Hemlock / Cedar,FRC,Forest Renewal Charge,5,1042026,31032027
RATE,51,130,Wabigoon Forest,HG1,Hardwood - Grade 1,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,52,130,Wabigoon Forest,HG2,Hardwood - Grade 2,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,53,130,Wabigoon Forest,MHW,Mixedwood Hardwood,FRC,Forest Renewal Charge,1,1042026,31032027
RATE,54,130,Wabigoon Forest,MIX,Mixedwood,FRC,Forest Renewal Charge,2,1042026,31032027
RATE,55,130,Wabigoon Forest,MPB,Mixedwood Poplar / White Birch,FRC,Forest Renewal Charge,1.25,1042026,31032027
RATE,56,130,Wabigoon Forest,MSW,Mixedwood Softwood,FRC,Forest Renewal Charge,6.25,1042026,31032027
RATE,57,130,Wabigoon Forest,POP,Poplar,FRC,Forest Renewal Charge,1.25,1042026,31032027
